country,region
ALB,ALB
ARE,ARE
ARG,ARG
ARM,ARM
AUS,AUS
CCK,AUS
CXR,AUS
HMD,AUS
NFK,AUS
AUT,AUT
AZE,AZE
BEL,BEL
BEN,BEN
BFA,BFA
BGD,BGD
BGR,BGR
BHR,BHR
BLR,BLR
BOL,BOL
BRA,BRA
BRN,BRN
BWA,BWA
CAN,CAN
CHE,CHE
CHL,CHL
CHN,CHN
CIV,CIV
CMR,CMR
COG,COG
COL,COL
COM,COM
CRI,CRI
CYP,CYP
CZE,CZE
DEU,DEU
DNK,DNK
DOM,DOM
ECU,ECU
EGY,EGY
ESP,ESP
EST,EST
ETH,ETH
ALA,FIN
FIN,FIN
FRA,FRA
GLP,FRA
MTQ,FRA
REU,FRA
GAB,GAB
GBR,GBR
GEO,GEO
GHA,GHA
GIN,GIN
GRC,GRC
GTM,GTM
HKG,HKG
HND,HND
HRV,HRV
HUN,HUN
IDN,IDN
IND,IND
IRL,IRL
IRN,IRN
IRQ,IRQ
ISR,ISR
ITA,ITA
JAM,JAM
JOR,JOR
JPN,JPN
KAZ,KAZ
KEN,KEN
KGZ,KGZ
KHM,KHM
KOR,KOR
KWT,KWT
LAO,LAO
LBN,LBN
LKA,LKA
LTU,LTU
LUX,LUX
LVA,LVA
MAR,MAR
MDG,MDG
MEX,MEX
MLT,MLT
MNG,MNG
MOZ,MOZ
MUS,MUS
MWI,MWI
MYS,MYS
NAM,NAM
NGA,NGA
NIC,NIC
NLD,NLD
NOR,NOR
SJM,NOR
NPL,NPL
NZL,NZL
OMN,OMN
PAK,PAK
PAN,PAN
PER,PER
PHL,PHL
POL,POL
PRI,PRI
PRT,PRT
PRY,PRY
PSE,PSE
QAT,QAT
ROU,ROU
RUS,RUS
RWA,RWA
SAU,SAU
SDN,SDN
SEN,SEN
SGP,SGP
SLV,SLV
SRB,SRB
SVK,SVK
SVN,SVN
SWE,SWE
SYR,SYR
TCD,TCD
TGO,TGO
THA,THA
TJK,TJK
TTO,TTO
TUN,TUN
TUR,TUR
TWN,TWN
TZA,TZA
UGA,UGA
UKR,UKR
URY,URY
USA,USA
VEN,VEN
VNM,VNM
AGO,XAC
COD,XAC
BLZ,XCA
ABW,XCB
AIA,XCB
ATG,XCB
BES,XCB
BHS,XCB
BLM,XCB
BRB,XCB
CUB,XCB
CUW,XCB
CYM,XCB
DMA,XCB
GRD,XCB
HTI,XCB
KNA,XCB
LCA,XCB
MAF,XCB
MSR,XCB
SXM,XCB
TCA,XCB
VCT,XCB
VGB,XCB
VIR,XCB
CAF,XCF
GNQ,XCF
STP,XCF
MAC,XEA
PRK,XEA
BDI,XEC
DJI,XEC
ERI,XEC
MYT,XEC
SOM,XEC
SSD,XEC
SYC,XEC
MDA,XEE
ISL,XEF
LIE,XEF
AND,XER
BIH,XER
FRO,XER
GGY,XER
GIB,XER
IMN,XER
JEY,XER
MCO,XER
MKD,XER
MNE,XER
SMR,XER
VAT,XER
BMU,XNA
GRL,XNA
SPM,XNA
DZA,XNF
ESH,XNF
LBY,XNF
ASM,XOC
COK,XOC
FJI,XOC
FSM,XOC
GUM,XOC
KIR,XOC
MHL,XOC
MNP,XOC
NCL,XOC
NIU,XOC
NRU,XOC
PCN,XOC
PLW,XOC
PNG,XOC
PYF,XOC
SLB,XOC
TKL,XOC
TON,XOC
TUV,XOC
UMI,XOC
VUT,XOC
WLF,XOC
WSM,XOC
AFG,XSA
BTN,XSA
MDV,XSA
LSO,XSC
SWZ,XSC
MMR,XSE
TLS,XSE
FLK,XSM
GUF,XSM
GUY,XSM
SGS,XSM
SUR,XSM
TKM,XSU
UZB,XSU
ATA,XTW
ATF,XTW
BVT,XTW
IOT,XTW
CPV,XWF
GMB,XWF
GNB,XWF
LBR,XWF
MLI,XWF
MRT,XWF
NER,XWF
SHN,XWF
SLE,XWF
YEM,XWS
ZAF,ZAF
ZMB,ZMB
ZWE,ZWE
